source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
Vertere,Vertere Acoustics,SG-1,240,Vertere website,222.5,Vertere website,agreed,skipped,filtered_non_tonearm_row
VPI,VPI,Fatboy,313,VPI website,300,VPI website,agreed,skipped,already_in_research_targets
VPI,VPI,Fatboy on HW40,300,My calculation,287,Source: Anton Wootliff; HW-40 approx PS dimension,Anton measured 296mm from pivot to middle of headshell screw slots PLUS stylus run of 7-8mm. Consider adding a 300mm arc instead as we need something further away,skipped,already_in_research_targets
VPI,VPI,JMW 10,273,VPI website,258,VPI website,Loefgren PS dimension. It's 273mm at Baerwald,skipped,already_in_tonearm_models
VPI,VPI,JMW 10 3D,273,VPI website,258,VPI website,Loefgren PS dimension. It's 273mm at Baerwald,skipped,already_in_tonearm_models
VPI,VPI,JMW 10.5,265.5,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,250,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,,skipped,already_in_tonearm_models
VPI,VPI,JMW 10.5i,276.8,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,262,https://www.vinylengine.com/vpi-tonearm-geometry.shtml,,skipped,already_in_tonearm_models
VPI,VPI,JMW 12 3D,313,VPI website,300,VPI website,agreed,skipped,already_in_tonearm_models
VPI,VPI,JMW 12 3DR,313,VPI website,300,VPI website,agreed,skipped,already_in_research_targets
VPI,VPI,JMW 9,240,VPI website,223,VPI website,Loefgren PS dimension,skipped,already_in_tonearm_models
VPI,VPI,Player,240,VPI website,223,VPI website,Loefgren PS dimension,skipped,filtered_non_tonearm_row
Avid,Avid,Acutus,233.15,Avid website,216,Avid website,Avid is rounding,skipped,filtered_non_tonearm_row
Avid,Avid,Nexus,233.15,Avid website,216,Avid website,Avid is rounding,skipped,already_in_tonearm_models
Thorens,Thorens,"TP92 9""",233.15,Thorens website,215,Thorens website,,skipped,already_in_research_targets
Thorens,Thorens,"TP92 10""",254,Thorens website,237.8,Thorens website,,skipped,already_in_research_targets
Thorens,Thorens,"TP92 12""",305,Thorens website,291.4,Thorens website,,skipped,already_in_research_targets
Thorens,Thorens,TP160,233.15,Thorens website,215,Thorens website,,skipped,already_in_research_targets
